"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"9UZA6P85","journalArticle","2022","Souza, Luiz Enrique Vieira De; Fetz, Marcelo; Zagatto, Bruna Pastro; Pinho, Nataly Sousa","Violence and Illegal Deforestation: The Crimes of “Environmental Militias” in the Amazon Forest","Capitalism Nature Socialism","","1045-5752, 1548-3290","10.1080/10455752.2021.1980817","https://www.tandfonline.com/doi/full/10.1080/10455752.2021.1980817","","2022-04-03","2025-05-04 21:52:22","2025-05-04 21:52:22","2025-05-04 21:52:22","5-25","","2","33","","Capitalism Nature Socialism","Violence and Illegal Deforestation","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"94N4QCG9","journalArticle","2022","Souza, Luiz Enrique Vieira De; Fetz, Marcelo; Zagatto, Bruna Pastro; Pinho, Nataly Sousa","Violence and Illegal Deforestation: The Crimes of “Environmental Militias” in the Amazon Forest","Capitalism Nature Socialism","","1045-5752, 1548-3290","10.1080/10455752.2021.1980817","https://www.tandfonline.com/doi/full/10.1080/10455752.2021.1980817","","2022-04-03","2025-05-04 22:23:01","2025-05-04 22:23:01","2025-05-04 22:23:01","5-25","","2","33","","Capitalism Nature Socialism","Violence and Illegal Deforestation","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"E6W2IM53","journalArticle","2019","Siqueira, Italo Barbosa Lima; Paiva, Luiz Fábio Silva","“No Norte tem Comando”: as maneiras de fazer o crime, a guerra e o domínio das prisões do Amazonas |""North has Command"": the ways of making crime, war and domination of the Amazon's prisons.","Revista Brasileira de Sociologia - RBS","","2318-0544, 2317-8507","10.20336/rbs.486","https://rbs.sbsociologia.com.br/index.php/rbs/article/view/486","Este artigo analisa as maneiras de fazer o crime de um grupo reconhecido como a Família do Norte (FDN). Observa como a FDN conquistou espaço e reconhecimento entre pessoas envolvidas em práticas ilegais, reivindicando para si o controle social do crime no Norte do País. Discute os conflitos e as lutas simbólicas em torno da ideia de uma família que centraliza e estabelece o comando do crime dentro e fora das prisões no Amazonas. Demonstra ainda as nuances de alianças e disputas com o Comando Vermelho (CV) e o Primeiro Comando da Capital (PCC). Os resultados apresentados são frutos de pesquisas qualitativas feitas no Estado do Amazonas, em regiões de fronteira, cidades e dentro do sistema prisional. Eles revelam as dinâmicas de um grupo que se consolidou no cenário brasileiro, construindo ações políticas e morais que repercutiram nas maneiras de fazer o crime no Norte do País.","2019-08-15","2025-05-04 22:23:02","2025-05-04 22:23:02","2025-05-04 22:23:02","","","17","7","","RBS","“No Norte tem Comando”","","","","","","","","","","","","DOI.org (Crossref)","","","","/home/rudi/Zotero/storage/6Y74G3HF/Siqueira and Paiva - 2019 - “No Norte tem Comando” as maneiras de fazer o crime, a guerra e o domínio das prisões do Amazonas .pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IC4IMDB5","journalArticle","1998","Sanz, Virginia; Grajal, Alejandro","Successful Reintroduction of Captive‐Raised Yellow‐Shouldered Amazon Parrots on Margarita Island, Venezuela","Conservation Biology","","0888-8892, 1523-1739","10.1111/j.1523-1739.1998.96261.x","https://conbio.onlinelibrary.wiley.com/doi/10.1111/j.1523-1739.1998.96261.x","The Yellow‐shouldered Amazon (Amazona barbadensis) is one of the most endangered species of parrots in Venezuela. An integrated conservation program has focused on reversing the causes of parrot population decline on the Macanao Peninsula in Margarita Island. As a result, the parrot population on the island has increased to about 1900 individuals in 1996 from an estimated population of 750 in 1989, when the project started. Cooperation from national and local authorities and the project’s community outreach have resulted in several confiscated chicks. Whereas most confiscated chicks were successfully reintroduced in a cross‐fostering nest program, some had to be kept in captivity for later release. We hand‐reared 14 A. barbadensis and housed them for a year in a large outdoor aviary. Before release the birds were screened to determine their general health. Four parrots were fitted with radio transmitters and monitored for a minimum of 11 months. All 4 birds with radio transmitters survived and adapted successfully to their natural environment, 10 of the 12 released parrots survived at least 1 year, and 1 was seen alive 34 months after release. Integration into wild groups varied from 5 days to 9 months, with the two youngest parrots showing a slower integration process. None of the parrots reproduced the first year after release. Later three were seen scouting nesting holes with their partners, and one of the parrots was confirmed attending a nest with three eggs 28 months after release. Two chicks fledged from this nest. A substantial portion of the success of this program rests on 5 years of previous work on environmental education, public awareness, and studies on the parrot’s biology. To provide some guidance on the costs of reintroduction projects, we estimated an overall expenditure of about U.S. $2800 per parrot. Previous attempts to reintroduce captive‐raised parrots have had limited success, and our study indicates that reintroduction is feasible when captive‐raised parrots are introduced to an area with a resident population. Although reintroduction can significantly reduce the chances of extinction, it also involves some risks. The long‐term solution against extinction of A. barbadensis will be a combination of scientific understanding of their biology and habitat, awareness by local human communities, reduction in the wild bird trade, and continued commitment by conservation enforcement agencies.             Reintroducción Exitosa del Loro Espalda Amarilla del Amazonas Criados en Cautiverio en la Isla Margarita, Venezuela             La cotorra cabeziamarilla (Amazona barbadensis) es uno de los loros más amenazados de Venezuela. Un programa integrado de conservación se enfocó a revertir las causas de la declinación poblacional de cotorras en la Península de Macanao, en la Isla de Margarita. Como resultado, la población total de cotorras en la isla se incrementó hasta los 1900 individuos en 1996, a partir de una población estimada de 750 individuos cuando comenzó el proyecto en 1989. La cooperación de las autoridades nacionales y locales y las actividades educativas, han conducido a varios decomisos de polluelos. Aun cuando la mayoría de los polluelos fueron reintroducidos en un exitoso programa de nidos nodriza, algunos se tuvieron que mantener en cautiverio para soltarlos después. Para este estudio, un total de 14 A. barbadensis fueron criadas a mano y albergadas en un gran aviario durante un año. Antes de soltarlas, las aves fueron sometidas a análisis de salud general. Se le pusieron radio transmisores a cuatro cotorras, y se monitorearon por 11 meses. Todas las cuatro cotorras con radio transmisores sobrevivieron y se adaptaron exitosamente a su ambiente natural, 10 de las 12 cotorras sobrevivieron al menos durante un año, y una cotorra estaba viva al menos 34 meses después de soltarlas. La integración a grupos silvestres varió entre 5 días y 9 meses, y las dos cotorras mas jóvenes mostraron un proceso de integración más lento. Ninguna de las cotorras se reprodujo el primer año después de soltarlas. Tres de las cotorras fueron vistas explorando oquedades con sus parejas durante el segundo año, y una cuarta fue vista atendiendo un nido con tres huevos, a los 28 meses después de soltarla. Dos polluelos volaron de este nido. Una parte significativa del éxito de este estudio se basa en 5 años de trabajo previo en educación ambiental, conocimiento del publico, y estudios de biología de las cotorras. Para guiar los costos de proyectos de reintroducción, estimamos que el costo total estuvo alrededor de U.S.$2800 por cotorra. Pruebas anteriores para reintroducir loros criados en cautiverio han tenido éxito limitado. Los resultados de nuestro estudio indican que la reintroducción es posible cuando los loros criados en cautiverio son introducidos en un área donde existe una población silvestre residente. Aún cuando la reintroducción puede contribuir a reducir las oportunidades de extinción de esta y otras especies de cotorras, también acarrea riesgos. La solución a largo plazo contra la extinción será una combinación de entendimiento científico de la biología y habitat, conocimiento por parte de las comunidades humanas locales, reducción de la demanda de aves silvestres para el tráfico de mascotas, y la dedicación y continuidad de agencias conservacionistas y de guardería.","1998-04-26","2025-05-04 22:23:07","2025-05-04 22:23:07","2025-05-04 22:23:07","430-441","","2","12","","Conservation Biology","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DNXK3TKB","journalArticle","2019","Campbell, Dylan S.; Newheiser, Anna-Kaisa","Must the show go on? The (in)ability of counterevidence to change attitudes toward crime control theater policies.","Law and Human Behavior","","1573-661X, 0147-7307","10.1037/lhb0000338","https://doi.apa.org/doi/10.1037/lhb0000338","","2019-12","2025-05-04 22:23:08","2025-05-04 22:23:08","2025-05-04 22:23:08","568-584","","6","43","","Law and Human Behavior","Must the show go on?","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YA436GTQ","journalArticle","2018","Sá Carvalho, Carolina","How to See a Scar: Humanitarianism and Colonial Iconography in the Putumayo Rubber Boom","Journal of Latin American Cultural Studies","","1356-9325, 1469-9575","10.1080/13569325.2018.1432479","https://www.tandfonline.com/doi/full/10.1080/13569325.2018.1432479","","2018-07-03","2025-05-04 22:23:11","2025-05-04 22:23:11","2025-05-04 22:23:11","371-397","","3","27","","Journal of Latin American Cultural Studies","How to See a Scar","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6ETFA4NN","journalArticle","2017","Ofrias, Lindsay","Invisible harms, invisible profits: a theory of the incentive to contaminate","Culture, Theory and Critique","","1473-5784, 1473-5776","10.1080/14735784.2017.1357478","https://www.tandfonline.com/doi/full/10.1080/14735784.2017.1357478","","2017-10-02","2025-05-04 22:23:13","2025-05-04 22:23:13","2025-05-04 22:23:13","435-456","","4","58","","Culture, Theory and Critique","Invisible harms, invisible profits","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"L5BTAP56","journalArticle","2018","CAPES Brasil - Ministério da Educação, Brazil; Mariutti, Fabiana Gondim; Medeiros, Mirna; Universidade Estadual de Ponta Grossa (DETUR/UEPG), Brazil","Culture as a dimension of country brand: highs and lows of Brazil’s brand image","Tourism & Management Studies","","21828466","10.18089/tms.2018.14110","https://www.tmstudies.net/index.php/ectms/article/view/986","A country’s international recognition represents a significant aspect of its country branding and destination branding. Therefore, the aim of this paper is to explore ‘culture’ as a dimension of the country brand, particularly by analysing the case of Brazil in England. Using a focus group and thematic analysis, the study shows that Brazil is perceived as having a ‘diverse and positive culture’. Considering the English participants’ awareness of the country, the most prevalent themes were ‘football’, ‘Carnival,’ ‘Rio’ and ‘music.’ Furthermore, the most indicative of Brazil’s unique cultural associations were ‘flip-flops,’ ‘Amazon,’ ‘carnival parades,’ ‘Brazil nuts’, and ‘Brazilian native indigenous’. While the most positive associations were ‘carnival,’ ‘music,’ ‘indigenous tribes’ and ‘films’; the most negative associations were ‘social inequality,’ ‘poverty,’ ‘corruption,’ ‘political problems’ and ‘crime.’ Nevertheless, Brazil’s brand image is somewhat recognized more favourable than unfavourable by these English participants. This study can enhance country brand campaigns to refine their strategies for attracting business, investment, and tourism.","2018-01-31","2025-05-04 22:23:14","2025-05-04 22:23:14","2025-05-04 22:23:14","117-127","","1","14","","Tour. Manag. Stud.","Culture as a dimension of country brand","","","","","","","","","","","","DOI.org (Crossref)","","","","/home/rudi/Zotero/storage/F9EGFJJH/CAPES Brasil - Ministério da Educação, Brazil et al. - 2018 - Culture as a dimension of country brand highs and lows of Brazil’s brand image.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WE2YGI78","journalArticle","2014","Boekhout Van Solinge, Tim","Researching Illegal Logging and Deforestation","International Journal for Crime, Justice and Social Democracy","","2202-8005, 2202-7998","10.5204/ijcjsd.v3i2.179","https://www.crimejusticejournal.com/article/view/724","Tropical deforestation such as in the Amazon can be studied well from a green criminological perspective. Ethnographic research methods form a useful way to get insight into the dynamics and complexity of tropical deforestation, which often is illegal. This article gives an account of various ethnographic visits to the rainforests of the Amazon in the period 2003-2014. Ethnographic methods provide insight into the overlap between the legal and illegal, the functioning (or not) of state institutions, the power of (corporate) lobbies, and why tropical deforestation correlates with crimes such as corruption and violence. The use of ethnographic methods in forest areas where trustworthy state actors and institutions are not very present can also present danger and raise ethical issues (such as when the researcher, for reasons of safety, does not present as a criminological researcher). However, a large advantage of ethnographic visits to tropical rainforests is that they allow the gathering of local views and voices, which rarely reach the international level. These local views lead to interesting contradictions at the international level where corporate views and lobbies dominate.","2014-08-01","2025-05-04 22:23:23","2025-05-04 22:23:23","2025-05-04 22:23:23","35-48","","2","3","","Int J for Crime, Justice & Social Democracy","","","","","","","","","","","","","DOI.org (Crossref)","","","","/home/rudi/Zotero/storage/JTV3IBCT/Boekhout Van Solinge - 2014 - Researching Illegal Logging and Deforestation.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JS6V78GW","journalArticle","2003","González, José A","Harvesting, local trade, and conservation of parrots in the Northeastern Peruvian Amazon","Biological Conservation","","00063207","10.1016/S0006-3207(03)00071-5","https://linkinghub.elsevier.com/retrieve/pii/S0006320703000715","","2003-12","2025-05-04 22:23:34","2025-05-04 22:23:34","2025-05-04 22:23:34","437-446","","3","114","","Biological Conservation","","","","","","","","en","https://www.elsevier.com/tdm/userlicense/1.0/","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
